id;id_usuario_registro;titulo;autor;uri;link;conteudo;data_registro;data_publicacao;status;feed_id
1;88100;next-generation copy Towels;Table Credit Card Account Books;Terrace Mozambique envisioneer;Sweden deposit;../fake-data/blob/hipster.txt;2020-03-08T19:13:11;2020-03-09T03:50:30;PUBLICADO;1
2;95483;Unbranded Rubber Tuna B2C;Associate;GB;Aruban Guilder flexibility;../fake-data/blob/hipster.txt;2020-03-08T22:38:48;2020-03-09T08:08:49;APROVADO;2
3;22290;Cambridgeshire Rustic;Money Market Account;transmitting Intelligent;deposit Congo;../fake-data/blob/hipster.txt;2020-03-08T15:42:57;2020-03-08T10:36:49;PUBLICADO;3
4;21826;navigating virtual;strategize withdrawal;Suriname panel;Orchestrator Plastic;../fake-data/blob/hipster.txt;2020-03-09T07:13:50;2020-03-09T07:33:22;RASCUNHO;4
5;1103;back-end transmitter Refined Concrete Chips;productivity Refined Rubber Pants Practical;Florida;Handcrafted Wooden Keyboard ubiquitous;../fake-data/blob/hipster.txt;2020-03-09T03:24:04;2020-03-08T10:11:35;APROVADO;5
6;42825;Rustic Wooden Bacon overriding;violet;payment;Credit Card Account maximized USB;../fake-data/blob/hipster.txt;2020-03-08T21:49:29;2020-03-08T14:29:35;PUBLICADO;6
7;56917;Bedfordshire overriding;Texas cultivate Gorgeous;functionalities;Djibouti Franc microchip;../fake-data/blob/hipster.txt;2020-03-08T23:36:27;2020-03-08T18:54:22;RASCUNHO;7
8;83636;bypass reintermediate;next-generation Metal Representative;complexity groupware;Usability bluetooth;../fake-data/blob/hipster.txt;2020-03-08T12:59:29;2020-03-09T07:43:22;RASCUNHO;8
9;13484;JBOD Awesome;niches Plastic plum;Table Manager Computers;Ergonomic deposit;../fake-data/blob/hipster.txt;2020-03-08T10:21:36;2020-03-08T18:24:39;APROVADO;9
10;76903;Svalbard & Jan Mayen Islands withdrawal Administrator;Sports Guadeloupe Peso Uruguayo Uruguay Peso en Unidades Indexadas;Extension;AGP transmitter;../fake-data/blob/hipster.txt;2020-03-08T15:16:53;2020-03-08T21:50:22;PUBLICADO;10
